127.0.0.1 - - [26/Apr/2023:13:32:39 +0530] "GET / HTTP/1.1" 404 992
127.0.0.1 - - [26/Apr/2023:13:32:42 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5176
127.0.0.1 - - [26/Apr/2023:13:32:42 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [26/Apr/2023:13:32:42 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [26/Apr/2023:13:35:27 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:30 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:31 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:31 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:31 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:54 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:54 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:54 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:54 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:55 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:55 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:55 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:55 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:55 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:55 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:55 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:55 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:55 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:55 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:55 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:55 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:55 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
127.0.0.1 - - [26/Apr/2023:13:35:55 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 5179
