127.0.0.1 - - [16/May/2023:10:20:21 +0530] "GET / HTTP/1.1" 404 992
127.0.0.1 - - [16/May/2023:10:20:23 +0530] "GET /e-commerce/admin/adminControl.jsp HTTP/1.1" 200 320
127.0.0.1 - - [16/May/2023:10:20:24 +0530] "GET /e-commerce/css/adminControl.css HTTP/1.1" 200 97
127.0.0.1 - - [16/May/2023:10:20:24 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [16/May/2023:10:35:43 +0530] "GET /e-commerce/admin/adminControl.jsp HTTP/1.1" 200 2026
127.0.0.1 - - [16/May/2023:10:57:58 +0530] "GET /e-commerce/admin/adminControl.jsp HTTP/1.1" 200 2720
127.0.0.1 - - [16/May/2023:11:02:10 +0530] "GET /e-commerce/admin/adminControl.jsp HTTP/1.1" 200 2720
127.0.0.1 - - [16/May/2023:11:12:09 +0530] "GET /e-commerce/admin/adminControl.jsp HTTP/1.1" 200 3045
127.0.0.1 - - [16/May/2023:11:16:43 +0530] "GET /e-commerce/admin/adminControl.jsp HTTP/1.1" 200 3045
127.0.0.1 - - [16/May/2023:11:22:41 +0530] "GET /e-commerce/admin/adminControl.jsp HTTP/1.1" 200 3246
127.0.0.1 - - [16/May/2023:11:22:45 +0530] "GET /e-commerce/admin/adminControl.jsp HTTP/1.1" 200 3246
127.0.0.1 - - [16/May/2023:11:22:45 +0530] "GET /e-commerce/admin/adminControl.jsp HTTP/1.1" 200 3246
127.0.0.1 - - [16/May/2023:11:22:45 +0530] "GET /e-commerce/css/adminControl.css HTTP/1.1" 200 97
127.0.0.1 - - [16/May/2023:11:22:45 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [16/May/2023:11:22:45 +0530] "GET /e-commerce/admin/adminControl.jsp HTTP/1.1" 200 3246
127.0.0.1 - - [16/May/2023:11:22:45 +0530] "GET /e-commerce/css/adminControl.css HTTP/1.1" 200 97
127.0.0.1 - - [16/May/2023:11:22:45 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [16/May/2023:11:22:45 +0530] "GET /e-commerce/admin/adminControl.jsp HTTP/1.1" 200 3246
127.0.0.1 - - [16/May/2023:11:22:45 +0530] "GET /e-commerce/css/adminControl.css HTTP/1.1" 200 97
127.0.0.1 - - [16/May/2023:11:22:45 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [16/May/2023:11:23:21 +0530] "GET /e-commerce/admin/adminControl.jsp HTTP/1.1" 200 3261
127.0.0.1 - - [16/May/2023:11:23:21 +0530] "GET /e-commerce/admin/adminControl.jsp HTTP/1.1" 200 3261
127.0.0.1 - - [16/May/2023:11:23:21 +0530] "GET /e-commerce/css/adminControl.css HTTP/1.1" 200 97
127.0.0.1 - - [16/May/2023:11:23:21 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
