127.0.0.1 - - [21/Dec/2021:20:06:28 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:06:46 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 3142
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:06:51 +0530] "GET /gameInventory/8.jpg HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:06:51 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:25:06 +0530] "GET /gameInventory/signUp.jsp HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:25:08 +0530] "GET /gameInventory/login.jsp HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:25:11 +0530] "GET /gameInventory/index.jsp HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:25:13 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 3142
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:25:13 +0530] "GET /gameInventory/8.jpg HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:27:26 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 3142
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:27:26 +0530] "GET /gameInventory/8.jpg HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:27:31 +0530] "GET /gameInventory/signUp.jsp HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:27:31 +0530] "GET /gameInventory/signUp.js HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:27:31 +0530] "GET /gameInventory/signUp.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:28:40 +0530] "GET /gameInventory/signUp.jsp HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:28:40 +0530] "GET /gameInventory/signUp.css HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:28:40 +0530] "GET /gameInventory/signUp.js HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:28:40 +0530] "GET /gameInventory/5.png HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:30:40 +0530] "GET /gameInventory/signUp.jsp HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:30:40 +0530] "GET /gameInventory/signUp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:30:40 +0530] "GET /gameInventory/signUp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:30:40 +0530] "GET /gameInventory/5.png HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:31:30 +0530] "GET /gameInventory/signUp.jsp HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:31:30 +0530] "GET /gameInventory/signUp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:31:30 +0530] "GET /gameInventory/signUp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:31:30 +0530] "GET /gameInventory/5.png HTTP/1.1" 200 2410987
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:57:57 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 3140
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:57:57 +0530] "GET /gameInventory/8.jpg HTTP/1.1" 200 361522
0:0:0:0:0:0:0:1 - - [21/Dec/2021:20:59:15 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:01:22 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2487
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:01:22 +0530] "GET /gameInventory/8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:03:11 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:03:17 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:03:22 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:03:23 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:03:33 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:03:44 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:04:37 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:04:37 +0530] "GET /gameInventory/8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:04:52 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:04:58 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:06:01 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:06:02 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:07:03 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:07:08 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:07:09 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:07:10 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:07:10 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:07:12 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:07:17 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:07:24 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:07:26 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:07:27 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:07:27 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:07:28 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:07:28 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:07:28 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:07:28 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:07:28 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:07:29 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:07:29 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:07:29 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:13:15 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:13:15 +0530] "GET /gameInventory/8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:13:30 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:14:12 +0530] "GET /gameInventory/signUp.jsp HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:14:12 +0530] "GET /gameInventory/signUp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:14:12 +0530] "GET /gameInventory/signUp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:14:12 +0530] "GET /gameInventory/5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:14:19 +0530] "GET /gameInventory/login.jsp HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:14:19 +0530] "GET /gameInventory/login.js HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:14:19 +0530] "GET /gameInventory/login.css HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:14:19 +0530] "GET /gameInventory/6.png HTTP/1.1" 200 3372474
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:14:24 +0530] "GET /gameInventory/signUp.jsp HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:15:01 +0530] "POST /gameInventory/signupSubmit.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:17:22 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:17:23 +0530] "GET /gameInventory/signUp.jsp HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:17:42 +0530] "POST /gameInventory/signupSubmit.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:17:42 +0530] "GET /gameInventory/login.jsp HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:17:52 +0530] "POST /gameInventory/loginSubmit.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:17:52 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:17:52 +0530] "GET /gameInventory/8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:23:50 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:23:50 +0530] "GET /gameInventory/8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:26:11 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:26:37 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:30:37 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:30:37 +0530] "GET /gameInventory/8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:30:40 +0530] "GET /gameInventory/update.jsp HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:30:40 +0530] "GET /gameInventory/1.jpg HTTP/1.1" 200 1246637
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:30:40 +0530] "GET /gameInventory/userUpdate.css HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:30:50 +0530] "POST /gameInventory/update1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:30:50 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:30:54 +0530] "GET /gameInventory/update.jsp HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:30:54 +0530] "GET /gameInventory/userUpdate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:30:56 +0530] "POST /gameInventory/update1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:30:56 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:31:15 +0530] "GET /gameInventory/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:31:15 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:31:19 +0530] "GET /gameInventory/signUp.jsp HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:31:19 +0530] "GET /gameInventory/signUp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:31:19 +0530] "GET /gameInventory/signUp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:31:19 +0530] "GET /gameInventory/5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:31:21 +0530] "GET /gameInventory/login.jsp HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:31:21 +0530] "GET /gameInventory/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:31:21 +0530] "GET /gameInventory/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:31:21 +0530] "GET /gameInventory/6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:31:22 +0530] "GET /gameInventory/forgetPswd.jsp HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:31:22 +0530] "GET /gameInventory/2.jpg HTTP/1.1" 200 3183814
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:31:22 +0530] "GET /gameInventory/userPass.css HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:31:31 +0530] "POST /gameInventory/forgetPswd1.jsp HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:31:55 +0530] "POST /gameInventory/forgetPswd1.jsp HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:33:20 +0530] "POST /gameInventory/forgetPswd1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:33:20 +0530] "GET /gameInventory/forgetPswd2.jsp HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:33:20 +0530] "GET /gameInventory/userPass1.css HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:33:27 +0530] "POST /gameInventory/forgetPswd3.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:33:27 +0530] "GET /gameInventory/forgetPswd4.jsp HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:33:27 +0530] "GET /gameInventory/userPass2.css HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:33:35 +0530] "POST /gameInventory/forgetPswd5.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:33:35 +0530] "GET /gameInventory/login.jsp HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:33:44 +0530] "POST /gameInventory/loginSubmit.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:33:44 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:33:48 +0530] "GET /gameInventory/update.jsp HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:33:48 +0530] "GET /gameInventory/userUpdate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:33:49 +0530] "POST /gameInventory/update1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:33:49 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:33:52 +0530] "GET /gameInventory/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:21:33:52 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 2158
