127.0.0.1 - - [14/Jan/2022:22:06:27 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:06:28 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:06:29 +0530] "GET /gameInventory/ac.webp HTTP/1.1" 200 20974
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:06:29 +0530] "GET /gameInventory/genres.css HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:06:29 +0530] "GET /gameInventory/8.jpg HTTP/1.1" 200 361522
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:06:29 +0530] "GET /gameInventory/dbx2.jpeg HTTP/1.1" 200 28335
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:06:29 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:06:43 +0530] "GET /gameInventory/Assassin's%20Creed.jsp HTTP/1.1" 200 2351
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:06:43 +0530] "GET /gameInventory/games.js HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:06:43 +0530] "GET /gameInventory/games.css HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:06:43 +0530] "GET /gameInventory/9.png HTTP/1.1" 200 2702062
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:06:47 +0530] "GET /gameInventory/strategy.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:06:47 +0530] "GET /gameInventory/lol.jpg HTTP/1.1" 200 141595
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:06:48 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:06:51 +0530] "GET /gameInventory/horror.jsp HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:06:51 +0530] "GET /gameInventory/p.png HTTP/1.1" 200 104054
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:06:51 +0530] "GET /gameInventory/atdd.jpg HTTP/1.1" 200 23072
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:06:52 +0530] "GET /gameInventory/Prototype.jsp HTTP/1.1" 200 2655
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:06:52 +0530] "GET /gameInventory/games.js HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:06:56 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:07:47 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:07:48 +0530] "GET /gameInventory/horror.jsp HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:07:49 +0530] "GET /gameInventory/Amnesia%20The%20Dark%20Descent.jsp HTTP/1.1" 200 3217
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:07:49 +0530] "GET /gameInventory/games.js HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:07:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:08:17 +0530] "GET /gameInventory/signUp.jsp HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:08:17 +0530] "GET /gameInventory/signUp.js HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:08:17 +0530] "GET /gameInventory/signUp.css HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:08:17 +0530] "GET /gameInventory/5.png HTTP/1.1" 200 2410987
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:08:59 +0530] "POST /gameInventory/signupSubmit.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:08:59 +0530] "GET /gameInventory/login.jsp HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:08:59 +0530] "GET /gameInventory/login.js HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:08:59 +0530] "GET /gameInventory/login.css HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:08:59 +0530] "GET /gameInventory/6.png HTTP/1.1" 200 3372474
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:09:15 +0530] "POST /gameInventory/loginSubmit.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:09:15 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 1353
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:09:20 +0530] "GET /gameInventory/DragonBall%20Xenoverse%202.jsp HTTP/1.1" 200 3727
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:09:20 +0530] "GET /gameInventory/games.js HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:09:24 +0530] "GET /gameInventory/aboutUs.jsp HTTP/1.1" 200 1353
0:0:0:0:0:0:0:1 - - [14/Jan/2022:22:09:26 +0530] "GET /gameInventory/DragonBall%20Xenoverse%202.jsp HTTP/1.1" 200 3727
